cone_type,X,Y,Z,std_X,std_Y,std_Z,right,left
blue,1.5,-12.5,0.0,0.0,0.0,0.0,0,1
blue,1.5,-7.5,0.0,0.0,0.0,0.0,0,1
blue,1.5,-2.5,0.0,0.0,0.0,0.0,0,1
blue,1.5,2.5,0.0,0.0,0.0,0.0,0,1
blue,1.5,7.5,0.0,0.0,0.0,0.0,0,1
blue,1.5,12.5,0.0,0.0,0.0,0.0,0,1
blue,1.5,17.5,0.0,0.0,0.0,0.0,0,1
blue,1.5,22.5,0.0,0.0,0.0,0.0,0,1
blue,1.5,27.5,0.0,0.0,0.0,0.0,0,1
blue,0.29422863405994804,32.0,0.0,0.0,0.0,0.0,0,1
blue,-2.999999999999999,35.29422863405995,0.0,0.0,0.0,0.0,0,1
blue,-7.499999999999999,36.5,0.0,0.0,0.0,0.0,0,1
blue,-11.999999999999998,35.29422863405995,0.0,0.0,0.0,0.0,0,1
blue,-15.294228634059946,32.0,0.0,0.0,0.0,0.0,0,1
blue,-16.5,27.5,0.0,0.0,0.0,0.0,0,1
blue,-16.5,22.5,0.0,0.0,0.0,0.0,0,1
blue,-16.5,17.5,0.0,0.0,0.0,0.0,0,1
blue,-16.5,12.5,0.0,0.0,0.0,0.0,0,1
blue,-16.5,7.5,0.0,0.0,0.0,0.0,0,1
blue,-16.5,2.5,0.0,0.0,0.0,0.0,0,1
blue,-16.5,-2.5,0.0,0.0,0.0,0.0,0,1
blue,-16.5,-7.5,0.0,0.0,0.0,0.0,0,1
blue,-16.5,-12.499999999999998,0.0,0.0,0.0,0.0,0,1
blue,-15.29422863405995,-16.999999999999996,0.0,0.0,0.0,0.0,0,1
blue,-12.000000000000004,-20.294228634059944,0.0,0.0,0.0,0.0,0,1
blue,-7.500000000000002,-21.5,0.0,0.0,0.0,0.0,0,1
blue,-3.000000000000006,-20.29422863405995,0.0,0.0,0.0,0.0,0,1
blue,0.29422863405994537,-17.000000000000004,0.0,0.0,0.0,0.0,0,1
yellow,-1.5,-12.5,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,-7.5,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,-2.5,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,2.5,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,7.5,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,12.5,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,17.5,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,22.5,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,27.5,0.0,0.0,0.0,0.0,1,0
yellow,-2.303847577293368,30.5,0.0,0.0,0.0,0.0,1,0
yellow,-4.499999999999999,32.69615242270663,0.0,0.0,0.0,0.0,1,0
yellow,-7.5,33.5,0.0,0.0,0.0,0.0,1,0
yellow,-10.499999999999998,32.69615242270663,0.0,0.0,0.0,0.0,1,0
yellow,-12.696152422706632,30.5,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,27.5,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,22.5,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,17.5,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,12.5,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,7.5,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,2.5,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,-2.5,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,-7.5,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,-12.5,0.0,0.0,0.0,0.0,1,0
yellow,-12.696152422706632,-15.499999999999998,0.0,0.0,0.0,0.0,1,0
yellow,-10.500000000000004,-17.696152422706632,0.0,0.0,0.0,0.0,1,0
yellow,-7.500000000000001,-18.5,0.0,0.0,0.0,0.0,1,0
yellow,-4.5000000000000036,-17.696152422706632,0.0,0.0,0.0,0.0,1,0
yellow,-2.3038475772933698,-15.500000000000004,0.0,0.0,0.0,0.0,1,0
big_orange,1.5,4.75,0.0,0.0,0.0,0.0,1,0
big_orange,1.5,5.25,0.0,0.0,0.0,0.0,1,0
big_orange,-1.5,4.75,0.0,0.0,0.0,0.0,0,1
big_orange,-1.5,5.25,0.0,0.0,0.0,0.0,0,1
